20260323T000000,20000.00,20547.15,19647.51,20234.12,0
20260324T000000,20234.12,20941.73,20234.12,20854.93,0
20260325T000000,20854.93,20854.93,19950.02,20263.05,0
20260326T000000,20263.05,20865.45,19756.96,19756.96,0
20260327T000000,19756.96,19756.96,18597.04,18630.59,0
20260330T000000,18630.59,18841.49,17940.39,18175.25,0
20260331T000000,18175.25,20006.20,18175.25,20006.20,0
20260401T000000,20006.20,21060.67,20006.20,20715.57,0
20260402T000000,20715.57,20725.16,19469.33,20715.57,0
20260406T000000,20715.57,21214.05,20715.57,21075.05,0
20260407T000000,21075.05,21161.32,20145.20,21161.32,0
20260408T000000,21161.32,23183.99,21161.32,22920.37,0
20260409T000000,22920.37,23471.57,22747.82,23471.57,0
20260410T000000,23471.57,23850.23,23447.61,23519.50,0
20260413T000000,23519.50,24286.39,23322.99,24286.39,0
20260414T000000,24286.39,25556.55,24286.39,25551.76,0
20260415T000000,25551.76,26682.92,25551.76,26682.92,0
20260416T000000,26682.92,27210.15,26409.71,27056.78,0
20260417T000000,27056.78,28226.28,27056.78,28039.35,0
20260420T000000,28039.35,28039.35,27377.91,27756.56,0
20260421T000000,27756.56,28197.52,27349.15,27349.15,0
20260422T000000,27349.15,28858.96,27349.15,28858.96,0
20260423T000000,28858.96,29074.65,28092.08,28317.35,0
